COUNTRY,NAME
AFGHANISTAN,Afghanistan
ALBANIA,Albania
ALGERIA,Algeria
ANDORRA,Andorra
ANGOLA,Angola
ANTIGUA AND BARBUDA,Antigua and Barbuda
ARGENTINA,Argentina
ARMENIA,Armenia
AUSTRALIA,Australia
AUSTRIA,Austria
AZERBAIJAN,Azerbaijan
BAHAMAS,Bahamas
BAHRAIN,Bahrain
BANGLADESH,Bangladesh
BARBADOS,Barbados
BELARUS,Belarus
BELGIUM,Belgium
BELIZE,Belize
BENIN,Benin
BHUTAN,Bhutan
BOLIVIA (PLURINATIONAL STATE OF),Bolivia
BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina
BOTSWANA,Botswana
BRAZIL,Brazil
BRUNEI DARUSSALAM,Brunei
BULGARIA,Bulgaria
BURKINA FASO,Burkina Faso
BURUNDI,Burundi
CABO VERDE,Cabo Verde
CAMBODIA,Cambodia
CAMEROON,Cameroon
CANADA,Canada
CENTRAL AFRICAN REPUBLIC,Central African Republic
CHAD,Chad
CHILE,Chile
CHINA,China
COLOMBIA,Colombia
COMOROS,Comoros
CONGO,Congo
COSTA RICA,Costa Rica
COTE D'IVOIRE,Cote d’Ivoire
CROATIA,Croatia
CUBA,Cuba
CYPRUS,Cyprus
CZECHIA,Czechia
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,North Korea
DEMOCRATIC REPUBLIC OF THE CONGO,DR Congo
DENMARK,Denmark
DJIBOUTI,Djibouti
DOMINICA,Dominica
DOMINICAN REPUBLIC,Dominican Republic
ECUADOR,Ecuador
EGYPT,Egypt
EL SALVADOR,El Salvador
EQUATORIAL GUINEA,Equatorial Guinea
ERITREA,Eritrea
ESTONIA,Estonia
ESWATINI,Eswatini
ETHIOPIA,Ethiopia
FIJI,Fiji
FINLAND,Finland
FRANCE,France
GABON,Gabon
GAMBIA,Gambia
GEORGIA,Georgia
GERMANY,Germany
GHANA,Ghana
GREECE,Greece
GRENADA,Grenada
GUATEMALA,Guatemala
GUINEA,Guinea
GUINEA-BISSAU,Guinea-Bissau
GUYANA,Guyana
HAITI,Haiti
HONDURAS,Honduras
HUNGARY,Hungary
ICELAND,Iceland
INDIA,India
INDONESIA,Indonesia
IRAN (ISLAMIC REPUBLIC OF),Iran
IRAQ,Iraq
IRELAND,Ireland
ISRAEL,Israel
ITALY,Italy
JAMAICA,Jamaica
JAPAN,Japan
JORDAN,Jordan
KAZAKHSTAN,Kazakhstan
KENYA,Kenya
KIRIBATI,Kiribati
KUWAIT,Kuwait
KYRGYZSTAN,Kyrgyzstan
LAO PEOPLE'S DEMOCRATIC REPUBLIC,Laos
LATVIA,Latvia
LEBANON,Lebanon
LESOTHO,Lesotho
LIBERIA,Liberia
LIBYA,Libya
LIECHTENSTEIN,Liechtenstein
LITHUANIA,Lithuania
LUXEMBOURG,Luxembourg
MADAGASCAR,Madagascar
MALAWI,Malawi
MALAYSIA,Malaysia
MALDIVES,Maldives
MALI,Mali
MALTA,Malta
MARSHALL ISLANDS,Marshall Islands
MAURITANIA,Mauritania
MAURITIUS,Mauritius
MEXICO,Mexico
MICRONESIA (FEDERATED STATES OF),Micronesia
MONACO,Monaco
MONGOLIA,Mongolia
MONTENEGRO,Montenegro
MOROCCO,Morocco
MOZAMBIQUE,Mozambique
MYANMAR,Myanmar
NAMIBIA,Namibia
NAURU,Nauru
NEPAL,Nepal
