COUNTRY,VOTE
AFGHANISTAN,Y
ALBANIA,Y
ALGERIA,Y
ANDORRA,Y
ANGOLA,Y
ANTIGUA AND BARBUDA,Y
ARGENTINA,Y
ARMENIA,Y
AUSTRALIA,A
AUSTRIA,Y
AZERBAIJAN,Y
BAHAMAS,Y
BAHRAIN,Y
BANGLADESH,Y
BARBADOS,Y
BELARUS,Y
BELGIUM,Y
BELIZE,Y
BENIN,Y
BHUTAN,Y
BOLIVIA (PLURINATIONAL STATE OF),Y
BOSNIA AND HERZEGOVINA,Y
BOTSWANA,Y
BRAZIL,Y
BRUNEI DARUSSALAM,Y
BULGARIA,Y
BURKINA FASO,Y
BURUNDI,Y
CABO VERDE,Y
CAMBODIA,Y
CAMEROON,A
CANADA,Y
CENTRAL AFRICAN REPUBLIC,Y
CHAD,Y
CHILE,Y
CHINA,Y
COLOMBIA,Y
COMOROS,Y
CONGO,Y
COSTA RICA,Y
COTE D'IVOIRE,Y
CROATIA,Y
CUBA,Y
CYPRUS,Y
CZECHIA,Y
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,Y
DEMOCRATIC REPUBLIC OF THE CONGO,X
DENMARK,Y
DJIBOUTI,Y
DOMINICA,X
DOMINICAN REPUBLIC,Y
ECUADOR,Y
EGYPT,Y
EL SALVADOR,Y
EQUATORIAL GUINEA,X
ERITREA,Y
ESTONIA,Y
ESWATINI,X
ETHIOPIA,Y
FIJI,Y
FINLAND,Y
FRANCE,Y
GABON,Y
GAMBIA,Y
GEORGIA,Y
GERMANY,Y
GHANA,Y
GREECE,Y
GRENADA,Y
GUATEMALA,A
GUINEA,Y
GUINEA-BISSAU,Y
GUYANA,Y
HAITI,Y
HONDURAS,A
HUNGARY,Y
ICELAND,Y
INDIA,Y
INDONESIA,Y
IRAN (ISLAMIC REPUBLIC OF),Y
IRAQ,Y
IRELAND,Y
ISRAEL,N
ITALY,Y
JAMAICA,Y
JAPAN,Y
JORDAN,Y
KAZAKHSTAN,Y
KENYA,Y
KIRIBATI,A
KUWAIT,Y
KYRGYZSTAN,Y
LAO PEOPLE'S DEMOCRATIC REPUBLIC,Y
LATVIA,X
LEBANON,Y
LESOTHO,A
LIBERIA,X
LIBYA,Y
LIECHTENSTEIN,Y
LITHUANIA,Y
LUXEMBOURG,Y
MADAGASCAR,Y
MALAWI,X
MALAYSIA,Y
MALDIVES,Y
MALI,Y
MALTA,Y
MARSHALL ISLANDS,N
MAURITANIA,Y
MAURITIUS,Y
MEXICO,Y
MICRONESIA (FEDERATED STATES OF),N
MONACO,Y
MONGOLIA,Y
MONTENEGRO,Y
MOROCCO,Y
MOZAMBIQUE,Y
MYANMAR,X
NAMIBIA,Y
NAURU,N
NEPAL,Y
NETHERLANDS,Y
NEW ZEALAND,Y
NICARAGUA,Y
NIGER,Y
NIGERIA,Y
NORTH MACEDONIA,Y
NORWAY,Y
OMAN,Y
PAKISTAN,Y
PALAU,A
PANAMA,Y
PAPUA NEW GUINEA,Y
PARAGUAY,Y
PERU,Y
PHILIPPINES,Y
POLAND,Y
PORTUGAL,Y
QATAR,Y
REPUBLIC OF KOREA,Y
REPUBLIC OF MOLDOVA,Y
ROMANIA,Y
RUSSIAN FEDERATION,Y
RWANDA,A
SAINT KITTS AND NEVIS,Y
SAINT LUCIA,Y
SAINT VINCENT AND THE GRENADINES,Y
SAMOA,Y
SAN MARINO,Y
SAO TOME AND PRINCIPE,Y
SAUDI ARABIA,Y
SENEGAL,Y
SERBIA,Y
SEYCHELLES,Y
SIERRA LEONE,Y
SINGAPORE,Y
SLOVAKIA,Y
SLOVENIA,Y
SOLOMON ISLANDS,X
SOMALIA,Y
SOUTH AFRICA,Y
SOUTH SUDAN,X
SPAIN,Y
SRI LANKA,Y
SUDAN,Y
SURINAME,Y
SWEDEN,Y
SWITZERLAND,Y
SYRIAN ARAB REPUBLIC,Y
TAJIKISTAN,Y
THAILAND,Y
TIMOR-LESTE,Y
TOGO,A
TONGA,A
TRINIDAD AND TOBAGO,Y
TUNISIA,Y
TURKEY,Y
TURKMENISTAN,Y
TUVALU,Y
UGANDA,Y
UKRAINE,Y
UNITED ARAB EMIRATES,Y
UNITED KINGDOM,Y
UNITED REPUBLIC OF TANZANIA,Y
UNITED STATES,N
URUGUAY,Y
UZBEKISTAN,Y
VANUATU,A
VENEZUELA (BOLIVARIAN REPUBLIC OF),Y
VIET NAM,Y
YEMEN,Y
ZAMBIA,Y
ZIMBABWE,Y
